Timestamp,Open,High,Low,Close,Volume
2019-08-20,202.39,202.77,194.48,196.44,20299.20763113
2019-08-21,196.51,197.07,179.94,187.27,44413.96695686
2019-08-22,187.28,195.0,182.63,190.45,47148.66365156
2019-08-23,190.53,197.14,188.3,194.36,35559.19076342
2019-08-24,194.35,194.53,185.51,190.96,29429.10860344
2019-08-25,190.8,192.76,182.49,186.72,24294.28377398
2019-08-26,186.56,194.49,185.31,188.35,43182.4069115
2019-08-27,188.36,189.0,184.56,187.07,25288.73282722
2019-08-28,187.2,188.13,166.0,172.81,63626.74111653
2019-08-29,172.79,173.36,163.49,168.82,48129.48387562
2019-08-30,168.99,170.36,165.52,168.25,31247.71976106
2019-08-31,168.3,174.9,165.93,171.92,21736.482156
2019-09-01,171.92,173.59,167.67,171.38,23616.15996143
2019-09-02,171.32,181.69,170.62,178.84,31732.44241039
2019-09-03,178.94,183.17,174.95,179.12,43029.49253381
2019-09-04,179.0,180.64,173.69,175.02,39018.65743617
2019-09-05,174.47,175.8,170.22,174.0,31718.28910524
2019-09-06,174.01,178.4,165.2,169.15,45120.9397745
2019-09-07,169.16,181.01,168.41,178.25,32108.34723884
2019-09-08,178.26,184.56,176.52,181.61,44192.9459567
2019-09-09,181.53,186.59,175.87,180.89,46738.51131929
2019-09-10,180.88,184.58,176.6,180.06,30348.01115297
2019-09-11,179.64,182.38,174.33,178.47,35898.13418387
2019-09-12,178.49,182.7,176.51,180.99,18353.15092312
2019-09-13,181.32,181.87,177.62,181.25,18111.55979699
2019-09-14,181.32,189.33,180.21,188.68,38821.25696926
2019-09-15,188.83,190.99,186.6,189.45,25717.40867211
2019-09-16,189.72,199.83,188.58,197.72,71386.20353149
2019-09-17,197.88,215.39,196.1,207.88,86983.34483402
2019-09-18,207.96,218.53,207.87,210.23,70502.86850581
2019-09-19,210.24,224.8,202.1,220.79,111845.13986145
2019-09-20,220.84,221.93,212.2,218.1,49725.60113237
2019-09-21,218.07,221.62,213.3,214.94,40639.09833504
2019-09-22,214.94,215.41,206.13,211.07,40564.92954506
2019-09-23,211.54,211.54,198.2,200.77,61457.19318368
2019-09-24,200.99,202.8,152.4,166.28,190344.13938568
2019-09-25,166.28,174.94,162.28,169.92,89526.30206683
2019-09-26,169.92,170.9,151.86,165.88,99769.86035769
2019-09-27,165.97,177.1,161.06,174.46,62208.64685932
2019-09-28,174.43,175.98,168.02,173.96,38467.3747307
2019-09-29,173.91,174.62,164.47,169.36,38764.088255
2019-09-30,169.36,181.62,165.22,181.53,80948.59461211
2019-10-01,181.16,185.79,173.09,176.49,74406.22562268
2019-10-02,176.06,181.57,174.1,180.88,35340.44147993
2019-10-03,180.88,181.16,170.0,174.79,55306.83288001
2019-10-04,174.95,179.35,171.15,175.82,32213.52683354
2019-10-05,175.89,177.19,171.58,176.58,25424.16046762
2019-10-06,176.66,177.17,167.75,170.33,50522.45944349
2019-10-07,170.13,182.93,168.64,180.42,54199.7725083
2019-10-08,180.27,185.34,177.54,181.0,39275.10709632
2019-10-09,180.94,196.2,179.3,193.5,66121.98332884
2019-10-10,193.23,194.81,187.95,191.56,34227.1905206
2019-10-11,191.85,197.45,179.61,180.83,67001.65392637
2019-10-12,180.89,184.71,177.68,179.93,29536.21477828
2019-10-13,179.93,184.98,178.79,181.09,20750.56512872
2019-10-14,181.0,187.71,180.54,186.78,35519.62634984
2019-10-15,186.98,188.66,177.0,180.52,53928.89932058
2019-10-16,180.49,181.19,171.62,174.39,41341.03493268
2019-10-17,174.39,179.21,172.77,177.42,34198.62160618
2019-10-18,177.37,177.42,167.59,173.0,53136.76815807
2019-10-19,173.01,175.41,169.76,171.83,23703.60632533
2019-10-20,172.0,176.6,169.45,175.55,26383.74476503
2019-10-21,175.55,178.34,171.53,174.48,31088.07588559
2019-10-22,174.31,175.4,170.52,171.29,19941.29076523
2019-10-23,171.28,171.41,153.0,162.37,87170.45734459
2019-10-24,162.44,163.89,158.4,160.87,38159.95672086
2019-10-25,160.86,188.17,160.58,181.83,83631.99580758
2019-10-26,182.03,199.0,174.01,180.22,110395.06789908
2019-10-27,180.34,189.14,177.07,184.0,39571.80542001
2019-10-28,184.37,189.9,180.82,182.0,31560.67525802
2019-10-29,182.0,193.45,181.79,191.13,46929.87167012
2019-10-30,191.05,192.93,179.22,183.54,50814.84781916
2019-10-31,183.49,185.55,177.47,182.45,37759.32098918
2019-11-01,182.44,184.7,177.44,183.23,22256.56409139
2019-11-02,183.25,186.07,182.08,183.0,15284.58745877
2019-11-03,183.0,184.93,179.01,181.56,15138.95683384
2019-11-04,181.69,189.39,180.32,186.19,29054.98822141
2019-11-05,186.24,192.54,182.62,188.7,42868.78871751
2019-11-06,188.63,194.71,188.0,191.06,24004.10197528
2019-11-07,191.47,192.08,184.28,186.34,25396.61293992
2019-11-08,186.49,188.16,180.75,183.64,34484.58634699
2019-11-09,183.55,185.78,182.71,184.85,10000.59453849
2019-11-10,184.85,191.8,183.41,188.9,20371.05491742
