Timestamp,Open,High,Low,Close,Volume
1622154900000,38954.7,38954.7,38750.7,38750.9,4.87335166
1622154960000,38749.9,38758.9,38677.3,38681.9,13.89668609
1622155020000,38670.9,38700.0,38662.6,38699.3,12.60966635
1622155080000,38700.0,38789.6,38700.0,38769.3,1.81788382
1622155140000,38805.7,38901.6,38805.7,38814.2,1.48019882
1622155200000,38814.2,38814.3,38702.4,38702.4,1.94833437
1622155260000,38726.1,38795.0,38726.1,38736.4,1.51215403
1622155320000,38726.1,38726.1,38666.0,38666.0,0.24708972
1622155380000,38674.1,38717.7,38674.1,38717.7,0.04514132
1622155440000,38728.6,38728.6,38693.5,38694.0,3.86723778
1622155500000,38693.9,38739.3,38691.2,38691.2,1.5061971
1622155560000,38694.6,38694.6,38681.2,38681.2,0.00861865
1622155620000,38681.3,38695.6,38672.6,38690.1,7.50012745
1622155680000,38688.8,38688.8,38615.0,38619.5,1.92715121
1622155740000,38619.5,38650.4,38619.5,38647.6,0.36915164
1622155800000,38643.1,38643.1,38520.5,38520.5,4.16750635
1622155860000,38520.6,38527.7,38461.8,38527.7,10.33691845
1622155920000,38552.4,38569.2,38476.6,38476.7,1.38184358
1622155980000,38457.9,38478.6,38432.2,38478.4,1.83992524
1622156040000,38492.5,38514.7,38476.0,38476.0,1.1215199
1622156100000,38487.9,38512.4,38487.9,38488.1,0.51768273
1622156160000,38488.1,38534.8,38488.0,38488.1,0.83405682
1622156220000,38494.4,38516.1,38488.0,38516.1,2.30337748
1622156280000,38516.3,38533.5,38516.3,38533.5,0.07723148
1622156340000,38535.5,38569.3,38535.5,38550.1,0.63591589
1622156400000,38569.3,38629.6,38569.3,38588.1,2.12139151
1622156460000,38601.6,38662.8,38586.0,38651.0,1.12734587
1622156520000,38651.0,38693.2,38651.0,38693.2,1.50182176
1622156580000,38689.9,38755.9,38689.9,38747.4,1.2853275
1622156640000,38762.5,38780.5,38760.2,38760.2,5.2267743
1622156700000,38760.3,38760.3,38700.9,38700.9,0.05078799
1622156760000,38714.4,38730.6,38679.6,38679.6,1.00087096
1622156820000,38669.4,38727.9,38654.1,38679.8,1.44195941
1622156880000,38688.7,38730.6,38688.7,38726.2,0.28973676
1622156940000,38726.2,38726.2,38695.4,38707.4,0.04803949
1622157000000,38676.9,38676.9,38590.0,38605.5,0.04059645
1622157060000,38597.6,38676.1,38597.6,38655.3,0.93922457
1622157120000,38663.4,38674.1,38658.4,38671.5,0.9516172
